Team,Games Played,Goals Scored,GSPG,Goals Allowed,GAPG,Year,Conference
New Jersey Devils,69,189,2.7,230,3.3,2020,East
St. Louis Blues*,71,225,3.2,193,2.7,2020,West
Colorado Avalanche*,70,237,3.4,191,2.7,2020,West
Dallas Stars*,69,180,2.6,177,2.6,2020,West
Winnipeg Jets*,71,216,3.0,203,2.9,2020,West
Nashville Predators*,69,215,3.1,217,3.1,2020,West
Minnesota Wild*,69,220,3.2,220,3.2,2020,West
Chicago Blackhawks*,70,212,3.0,218,3.1,2020,West
Vegas Golden Knights*,71,227,3.2,211,3.0,2020,West
Edmonton Oilers*,71,225,3.2,217,3.1,2020,West
Calgary Flames*,70,210,3.0,215,3.1,2020,West
Vancouver Canucks*,69,228,3.3,217,3.1,2020,West
Arizona Coyotes*,70,195,2.8,187,2.7,2020,West
Anaheim Ducks,71,187,2.6,226,3.2,2020,West
Los Angeles Kings,70,178,2.5,212,3.0,2020,West
San Jose Sharks,70,182,2.6,226,3.2,2020,West
Florida Panthers*,82,340,4.1,246,3.0,2022,East
Toronto Maple Leafs*,82,315,3.8,253,3.1,2022,East
Tampa Bay Lightning*,82,287,3.5,233,2.8,2022,East
Boston Bruins*,82,255,3.1,220,2.7,2022,East
Buffalo Sabres,82,232,2.8,290,3.5,2022,East
Detroit Red Wings,82,230,2.8,312,3.8,2022,East
Ottawa Senators,82,227,2.8,266,3.2,2022,East
Montreal Canadiens,82,221,2.7,319,3.9,2022,East
Carolina Hurricanes*,82,278,3.4,202,2.5,2022,East
New York Rangers*,82,254,3.1,207,2.5,2022,East
Pittsburgh Penguins*,82,272,3.3,229,2.8,2022,East
Washington Capitals*,82,275,3.4,245,3.0,2022,East
New York Islanders,82,231,2.8,237,2.9,2022,East
Columbus Blue Jackets,82,262,3.2,300,3.7,2022,East
New Jersey Devils,82,248,3.0,307,3.7,2022,East
Philadelphia Flyers,82,211,2.6,298,3.6,2022,East
Colorado Avalanche*,82,312,3.8,234,2.9,2022,West
Minnesota Wild*,82,310,3.8,253,3.1,2022,West
St. Louis Blues*,82,311,3.8,242,3.0,2022,West
